"PUNTO DE INFORMACIÓN","MES","AÑO","PAIS DE PROCEDENCIA","CIUDAD DE PROCEDENCIA","CIUDAD DE DESTINO 1","CIUDAD DE DESTINO 2","CIUDAD DE DESTINO 3","CIUDAD DE DESTINO 4","CIUDAD DE DESTINO 5","SEXO","MOTIVO DEL VIAJE","TIEMPO DE PERMANENCIA EN DIAS","TIPO ALOJAMIENTO","TIPO TRANSPORTE","PRESUPUESTO","RESULTADO SATISFACCIÓN","CANTIDAD DE VIAJEROS"
"Aquitania","3","2,023","Colombiano","Tolima","Aquitania","Monguí","Sogamoso","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","NA","NA","NA","NA","Masculino","Turismo Cultural.","4","Hotel","Bus","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","NA","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Puente de Boyacá","3","2,023","Colombiano","Bogotá","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo de Bienestar.","1","familiar","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","1"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Meta","Paipa","NA","NA","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","hasta $ 300.000 COP.","9","1"
"Puente de Boyacá","3","2,023","Colombiano","Antioquía","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
"Puente de Boyacá","3","2,023","Colombiano","Atlántico","Ventaquemada","Villa de Leyva","Tunja","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","hasta $ 300.000 COP.","9","4"
"Puente de Boyacá","3","2,023","Colombiano","Antioquía","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Norte De Santander","Paipa","Tunja","NA","NA","NA","Masculino","Turismo Cultural.","1","Pasadía","Vehículo propio.","hasta $ 300.000 COP.","9","2"
"Puente de Boyacá","3","2,023","Colombiano","Tolima","Samacá","Sutamarchán","Tunja","Ráquira","Sáchica","Masculino","Turismo de Aventura.","3","Hotel","Bus","Entre $ 600.000 a $ 1.000.000 COP.","10","2"
"Puente de Boyacá","3","2,023","Colombiano","Tolima","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo de Naturaleza.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Puente de Boyacá","3","2,023","Colombiano","Bogotá","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo de Naturaleza.","3","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Puente de Boyacá","3","2,023","Colombiano","Santander","Sogamoso","Tunja","NA","NA","NA","Masculino","Turismo de Naturaleza.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Puente de Boyacá","3","2,023","Colombiano","Bogotá","Ráquira","Sáchica","Sutamarchán","Villa De Leyva","NA","Masculino","Turismo de Naturaleza.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Huila","Duitama","Monguí","Ráquira","Villa De Leyva","NA","Masculino","Turismo de Naturaleza.","1","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","10","4"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Valle Del Cauca","Monguí","Paipa","NA","NA","NA","Masculino","Turismo de Naturaleza.","1","Hotel","Bus","Entre $ 600.000 a $ 1.000.000 COP.","10","2"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Santander","Paipa","NA","NA","NA","NA","Masculino","Turismo de Naturaleza.","3","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","10","2"
"Puente de Boyacá","3","2,023","Colombiano","Valle Del Cauca","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo de Naturaleza.","5","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","10","2"
"Tunja","3","2,023","Colombiano","Bolívar","Tunja","Villa de Leyva","NA","NA","NA","Masculino","Turismo de Naturaleza.","2","Finca agroturística/Alojamiento rural.","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","2"
"Puente de Boyacá","3","2,023","Colombiano","Quindío","Villa de Leyva","NA","NA","NA","NA","Masculino","Turismo de Naturaleza.","1","Pasadía","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Monumento Pantano de Vargas","3","2,023","Colombiano","Antioquía","Duitama","Iza","Paipa","Villa De Leyva","NA","Masculino","Turismo de Naturaleza.","2","Casa/cabaña de vacaciones propia.","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","10","4"
"Tunja","3","2,023","Colombiano","Santander","Tunja","NA","NA","NA","NA","Masculino","Turismo Cultural.","1","Pasadía","Vehículo propio.","Entre $ 300.000 a $ 600.000 COP.","9","2"
"Aquitania","3","2,023","Colombiano","Bogotá","Aquitania","Monguí","Sogamoso","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","2"
"Aquitania","3","2,023","Colombiano","Bogotá","Aquitania","Iza","Tota","NA","NA","Masculino","Turismo Cultural.","1","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Bogotá","Aquitania","Cuítiva","Tota","NA","NA","Masculino","Turismo Cultural.","2","Hotel","Vehículo propio.","Entre $ 600.000 a $ 1.000.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Bogotá","Aquitania","Sogamoso","NA","NA","NA","Masculino","Turismo Cultural.","5","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","NA","NA","NA","NA","Masculino","Turismo Cultural.","3","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
"Aquitania","3","2,023","Colombiano","Cundinamarca","Aquitania","Cuítiva","Iza","Tota","NA","Masculino","Turismo Cultural.","4","Hotel","Vehículo propio.","Entre $ 1.000.000 a $ 3.000.000 COP.","9","4"
