PUNTO DE INFORMACIÓN,MES,AÑO,PAIS DE PROCEDENCIA,CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO 1,CIUDAD DE DESTINO 2,CIUDAD DE DESTINO 3,CIUDAD DE DESTINO 4,CIUDAD DE DESTINO 5,SEXO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA EN DIAS,TIPO ALOJAMIENTO,TIPO TRANSPORTE,PRESUPUESTO,RESULTADO SATISFACCIÓN,CANTIDAD DE VIAJEROS
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Cuítiva,Iza,Sogamoso,Tibasosa,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,2.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Cuítiva,Sogamoso,Tota,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,2.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,,,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Casanare,Aquitania,Iza,Pajarito,,,Masculino,Turismo Cultural.,3.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,2.0
Aquitania,3,"2,023",Colombiano,Boyacá,Aquitania,Cuítiva,Tota,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,2.0
Aquitania,3,"2,023",Colombiano,Cundinamarca,Aquitania,Nobsa,Sogamoso,,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Bogotá,Aquitania,Nobsa,Duitama,Sogamoso,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 600.000 a $ 1.000.000 COP.,8,4.0
Aquitania,3,"2,023",Colombiano,Casanare,Aquitania,Cuítiva,Iza,Tota,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,2.0
Aquitania,3,"2,023",Colombiano,Casanare,Aquitania,Cuítiva,Iza,Sogamoso,,Masculino,Turismo Cultural.,2.0,Hotel,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,4.0
Aquitania,3,"2,023",Colombiano,Tolima,Aquitania,Monguí,Sogamoso,,,Masculino,Turismo Cultural.,1.0,Hotel,Vehículo propio.,Entre $ 300.000 a $ 600.000 COP.,9,2.0
